id,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,668.0,0,1,33.0,3,0.0,2,1.0,0,181449.97,0
1,627.0,0,1,33.0,1,0.0,2,1.0,1,49503.5,0
2,678.0,0,1,40.0,10,0.0,2,1.0,0,184866.69,0
3,581.0,0,1,34.0,2,148882.54,1,1.0,1,84560.88,0
4,716.0,2,1,33.0,5,0.0,2,1.0,1,15068.83,0
5,588.0,1,1,36.0,4,131778.58,1,1.0,0,136024.31,1
6,593.0,0,0,30.0,8,144772.69,1,1.0,0,29792.11,0
7,678.0,2,1,37.0,1,138476.41,1,1.0,0,106851.6,0
8,676.0,0,2,43.0,4,0.0,2,1.0,0,142917.13,0
9,583.0,1,1,40.0,4,81274.33,1,1.0,1,170843.07,0
10,599.0,1,0,27.0,6,161801.47,2,1.0,0,109184.24,0
11,687.0,1,1,40.0,3,90432.92,1,1.0,0,1676.92,0
12,759.0,2,1,71.0,9,0.0,1,1.0,1,93081.87,0
13,681.0,0,1,47.0,5,0.0,1,1.0,1,72945.68,0
14,703.0,0,0,33.0,7,190566.65,1,1.0,1,79997.14,0
15,549.0,0,0,25.0,5,0.0,2,1.0,0,162260.93,0
16,602.0,0,1,36.0,7,0.0,2,0.0,1,135082.47,0
17,636.0,0,2,36.0,4,117559.05,2,1.0,0,111573.3,0
18,645.0,1,0,55.0,8,120105.43,1,1.0,0,125083.29,1
19,559.0,0,1,61.0,1,153711.26,1,0.0,1,180890.4,1
20,773.0,2,1,35.0,9,0.0,2,0.0,1,87549.36,0
21,554.0,0,1,41.0,8,0.0,2,1.0,0,113926.31,0
22,553.0,1,0,43.0,9,85200.82,1,1.0,0,160574.09,0
23,554.0,1,1,44.0,9,121823.26,1,1.0,0,79577.68,1
24,714.0,0,1,26.0,6,149879.66,2,1.0,1,50016.17,0
25,703.0,2,1,39.0,9,0.0,1,1.0,0,131363.57,1
26,616.0,2,1,31.0,3,136789.14,2,0.0,1,59346.4,0
27,586.0,0,0,58.0,2,147262.11,1,1.0,1,100835.19,0
28,785.0,2,1,41.0,4,0.0,1,1.0,0,170968.99,1
29,834.0,0,1,49.0,6,0.0,2,1.0,0,81999.53,0
30,632.0,0,1,32.0,5,0.0,2,1.0,1,105817.87,0
31,746.0,0,1,33.0,7,0.0,2,1.0,1,178067.33,0
32,797.0,2,0,55.0,0,99208.46,2,0.0,1,62402.38,1
33,753.0,0,0,36.0,9,128518.98,1,1.0,0,44567.83,0
34,749.0,1,1,50.0,5,132576.25,1,1.0,0,125939.18,1
35,413.0,1,1,28.0,3,130969.77,2,1.0,1,158891.79,0
36,611.0,2,1,45.0,0,0.0,2,1.0,0,82403.08,0
37,752.0,0,1,37.0,6,0.0,2,0.0,0,1187.88,0
38,551.0,1,1,31.0,9,82293.82,2,0.0,1,91565.25,1
39,747.0,1,1,58.0,9,114514.71,1,1.0,0,45414.12,1
40,714.0,0,1,52.0,8,0.0,2,1.0,1,147815.19,0
41,683.0,0,1,30.0,4,114779.35,1,0.0,0,183171.47,0
42,684.0,1,0,31.0,3,142293.54,3,1.0,0,146650.6,1
43,696.0,0,0,27.0,5,0.0,2,0.0,0,181499.77,0
44,773.0,0,1,36.0,8,77253.22,2,1.0,1,35817.97,0
45,591.0,1,0,35.0,10,101099.9,1,1.0,0,195692.3,0
46,488.0,1,1,34.0,5,154737.88,2,0.0,1,172638.13,0
47,685.0,2,1,31.0,10,122449.31,2,1.0,1,180769.55,0
48,579.0,0,1,39.0,6,160541.0,2,1.0,1,149913.08,0
49,607.0,0,1,26.0,1,0.0,2,1.0,0,29818.2,0
50,742.0,0,0,29.0,8,92219.41,1,1.0,1,132468.76,0
51,611.0,0,1,25.0,7,131344.52,1,0.0,1,24677.54,0
52,677.0,0,0,31.0,3,0.0,2,1.0,1,182633.63,0
53,461.0,0,0,40.0,6,122314.64,1,1.0,0,172450.19,1
54,753.0,2,1,37.0,8,0.0,1,1.0,1,168816.35,0
55,634.0,0,0,47.0,1,0.0,1,1.0,0,73883.56,1
56,647.0,2,1,34.0,9,132439.99,1,1.0,0,177747.72,0
57,577.0,0,1,36.0,3,112668.48,1,1.0,1,171344.02,0
58,809.0,0,1,31.0,5,0.0,2,1.0,0,122782.5,0
59,686.0,0,0,45.0,4,0.0,1,1.0,0,155023.93,1
60,633.0,0,0,29.0,6,0.0,2,1.0,0,93874.67,0
61,494.0,0,0,36.0,6,0.0,1,1.0,1,95583.52,0
62,699.0,0,1,31.0,7,0.0,2,1.0,0,171922.92,0
63,668.0,1,1,38.0,4,131136.97,2,1.0,1,93713.83,0
64,703.0,0,1,37.0,1,0.0,2,1.0,1,166850.97,0
65,663.0,0,0,54.0,6,0.0,1,1.0,1,170950.58,1
66,756.0,1,1,41.0,3,124439.49,2,1.0,1,47093.11,0
67,648.0,2,1,56.0,0,110939.3,1,1.0,1,92927.42,1
68,599.0,2,1,35.0,8,0.0,2,1.0,1,59816.41,0
69,678.0,1,0,43.0,8,129845.53,1,0.0,0,120853.51,1
70,563.0,0,1,43.0,7,146425.31,1,1.0,0,139435.54,0
71,682.0,1,0,34.0,5,126731.71,1,1.0,0,153870.58,1
72,620.0,0,1,46.0,8,177799.83,1,1.0,1,45414.09,0
73,721.0,2,1,30.0,9,0.0,2,1.0,1,177747.05,0
74,652.0,0,1,40.0,0,0.0,2,0.0,0,145593.85,0
75,535.0,0,1,34.0,3,123575.51,2,1.0,1,121525.48,0
76,584.0,1,1,26.0,1,127539.9,2,0.0,0,82712.53,0
77,701.0,2,0,35.0,2,0.0,2,0.0,0,170996.86,0
78,577.0,0,1,42.0,2,127539.97,1,1.0,1,85412.28,0
79,663.0,1,0,34.0,1,131569.63,1,1.0,1,158071.69,0
80,640.0,2,1,50.0,1,0.0,2,0.0,1,13906.34,0
81,711.0,2,1,36.0,1,139422.39,1,1.0,0,44965.44,0
82,707.0,1,0,38.0,5,106920.91,1,0.0,1,52404.47,1
83,631.0,0,1,31.0,1,141859.12,1,1.0,1,74532.02,0
84,637.0,2,1,64.0,1,0.0,1,0.0,1,181490.42,0
85,622.0,0,1,29.0,9,0.0,2,1.0,1,155786.39,0
86,494.0,0,1,30.0,3,85704.95,1,1.0,0,27886.06,0
87,775.0,0,0,20.0,6,109026.6,1,1.0,1,120801.65,0
88,817.0,0,0,31.0,7,117799.28,1,1.0,1,182372.35,0
89,703.0,0,1,38.0,10,0.0,2,1.0,1,170886.87,0
90,592.0,2,1,32.0,7,0.0,2,1.0,1,140941.47,0
91,743.0,1,1,37.0,2,132627.51,1,1.0,0,183566.87,1
92,726.0,0,0,26.0,5,0.0,2,1.0,0,52449.97,1
93,431.0,0,1,37.0,4,0.0,2,1.0,1,171344.06,0
94,571.0,0,0,50.0,4,0.0,1,1.0,0,145567.36,1
95,588.0,1,1,30.0,10,126683.4,1,1.0,1,131636.55,0
96,659.0,2,0,39.0,0,107042.74,1,1.0,0,102284.2,1
97,743.0,2,1,43.0,2,161807.18,2,0.0,1,93228.86,0
98,639.0,1,0,43.0,7,123873.52,1,1.0,1,51113.17,0
99,618.0,2,1,35.0,5,133476.09,1,0.0,1,154843.4,0
100,722.0,0,1,40.0,8,0.0,2,1.0,0,152843.53,0
101,712.0,0,0,25.0,5,121789.63,2,1.0,1,79458.73,0
102,672.0,0,0,28.0,5,90612.34,1,1.0,1,149139.13,0
103,804.0,0,1,39.0,0,117468.64,1,0.0,0,121206.83,0
104,682.0,0,0,46.0,10,0.0,2,0.0,0,109184.24,0
105,730.0,0,1,27.0,5,0.0,2,1.0,0,133537.53,0
106,506.0,0,0,32.0,8,0.0,2,1.0,0,53534.8,0
107,749.0,0,1,38.0,6,0.0,2,1.0,0,166468.28,0
108,569.0,0,1,43.0,3,0.0,1,0.0,0,119996.68,1
109,553.0,1,0,21.0,3,137553.29,2,1.0,0,52327.57,0
110,681.0,1,1,58.0,9,130147.98,2,0.0,0,118749.58,1
111,558.0,0,1,47.0,0,0.0,1,1.0,1,118740.69,1
112,507.0,1,0,36.0,8,139979.07,2,1.0,0,65567.91,0
113,594.0,0,1,35.0,2,185732.59,1,1.0,1,155843.48,0
114,796.0,2,0,23.0,3,146584.19,2,0.0,0,125445.8,1
115,615.0,0,0,40.0,10,0.0,1,1.0,0,125870.78,1
116,619.0,0,1,28.0,2,0.0,1,1.0,0,193880.6,0
117,471.0,2,1,28.0,1,0.0,1,1.0,0,95890.96,0
